id;name;slug;uic8_sncf;sncf_id;is_main_station;parent_station_id
216;Argenton-sur-Creuse Gare Routière;argenton-sur-creuse-gare-routiere;87201566;FRNCR;f;214
217;Roye;roye;87313502;FRAGU;t;17478
218;Agay;agay;87757559;FRAGY;f;
220;Versailles;versailles;;FRAHB;f;
223;Versailles-Chantiers;versailles-chantiers;87393009;FRDHT;t;220
224;Villeneuve-au-Chemin;villeneuve-au-chemin;87110361;FRAHC;f;
230;Salvagnac;salvagnac;87110155;FRAHY;f;
232;Maussac;maussac;;FRAIC;f;
233;Aix-en-Provence TGV;aix-en-provence-tgv;87319012;FRAIE;f;
234;Moustéru;mousteru;87473512;FRAIG;f;
239;Aillevillers;aillevillers;87185629;FRAIL;f;
241;Ailly-sur-Noye;ailly-sur-noye;87313221;FRAIN;f;
246;Ailly-sur-Somme;ailly-sur-somme;87313098;FRAIS;f;
249;Aigues-Vives (Gard);aigues-vives-gard;;FRAIV;f;
252;Aiserey;aiserey;87713636;FRAIY;f;
264;Vicq-sur-Breuilh;vicq-sur-breuilh;87115113;FRAJS;f;
265;St-Hilaire-Bonneval;st-hilaire-bonneval;87115121;FRAJU;f;
266;Boisseuil;boisseuil;87115139;FRAJV;f;
267;Azay-sur-Indre;azay-sur-indre;87115337;FRAJY;f;
286;Mouroux;mouroux;;FRAKV;f;
292;Alet-les-Bains;alet-les-bains;87615187;FRALB;f;
293;Allassac;allassac;87594234;FRALC;f;
295;Albens;albens;87746115;FRALE;f;
302;Pierre-Buffière Ville;pierre-buffiere-ville;87408997;FRALL;f;5349
303;Aix La Marsalouse;aix-la-marsalouse;;FRALM;f;
304;La Ferté-sous-Jouarre;la-ferte-sous-jouarre;;FRALN;f;
311;Merten;merten;87193219;FRALV;f;
313;La Ferté-Milon;la-ferte-milon;;FRALX;f;
314;Neuilly-St-Front;neuilly-st-front;87116681;FRALY;f;
315;Oulchy-Breny;oulchy-breny;87116699;FRALZ;f;
316;Albi Madeleine;albi-madeleine;87615195;FRAMA;f;4604
317;Ambérieu;amberieu;87743716;FRAMB;f;
322;Auxon Église;auxon-eglise;87117119;FRAMH;t;9587
323;Rehainviller;rehainviller;87117135;FRAMI;f;
324;St-Pierremont;st-pierremont;87117143;FRAMJ;f;
325;Leintrey;leintrey;87117168;FRAMK;f;
326;Amenoncourt;amenoncourt;87117176;FRAML;f;
327;Magnac Bourg;magnac-bourg;87450007;FRAMN;f;
328;Aigues-Mortes;aigues-mortes;87775858;FRAMO;f;
329;Meuzac;meuzac;87450015;FRAMP;f;
335;Orville;orville;87117267;FRAMV;f;
336;Torcenay;torcenay;87117275;FRAMW;f;
337;Rosoy-sur-Amance;rosoy-sur-amance;87117283;FRAMX;f;
338;Bize;bize;87117309;FRAMY;f;
339;Anrosey;anrosey;87117317;FRAMZ;f;
340;Pisseloup;pisseloup;87117325;FRANA;f;
341;Bétoncourt-sur-Mance;betoncourt-sur-mance;87117333;FRANB;f;
342;Vernois-sur-Mance;vernois-sur-mance;87117341;FRANC;f;
343;Andelot;andelot;87715102;FRAND;f;
344;Angers;angers;;FRANE;f;
345;Angers Maître École;angers-maitre-ecole;87484048;FREHA;f;344
346;Blondefontaine;blondefontaine;87117366;FRANF;f;
347;Angoulême;angouleme;87583005;FRANG;f;
348;Raincourt;raincourt;87117374;FRANH;f;
349;Gévigney;gevigney;87117382;FRANI;f;
350;Baulay;baulay;87117390;FRANJ;f;
351;Amoncourt;amoncourt;87117408;FRANK;f;
352;Chaux-les-Port;chaux-les-port;87117416;FRANL;f;
353;Charmoille;charmoille;87117424;FRANM;f;
